SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,ASFR,PASFR,Births
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1968,1968.5,30-34,30,5,87.776,21.056,376.031
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1968,1968.5,35-39,35,5,20.054,4.811,80.329
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1968,1968.5,40-44,40,5,2.723,0.653,9.779
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1968,1968.5,45-49,45,5,0.191,0.046,0.572
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1968,1968.5,50-54,50,5,0.076,0.018,0.197
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1969,1969.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1969,1969.5,15-19,15,5,4.751,1.165,22.741
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1969,1969.5,20-24,20,5,84.628,20.749,436.107
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1969,1969.5,25-29,25,5,209.911,51.466,986.303
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1969,1969.5,30-34,30,5,85.618,20.992,364.174
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1969,1969.5,35-39,35,5,19.982,4.899,81.37
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1969,1969.5,40-44,40,5,2.734,0.67,10.051
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1969,1969.5,45-49,45,5,0.169,0.041,0.529
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1969,1969.5,50-54,50,5,0.068,0.017,0.179
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1970,1970.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1970,1970.5,15-19,15,5,4.735,1.148,21.229
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1970,1970.5,20-24,20,5,92.401,22.4,499.18
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1970,1970.5,25-29,25,5,206.577,50.078,977.636
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1970,1970.5,30-34,30,5,86.049,20.86,366.043
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1970,1970.5,35-39,35,5,19.799,4.8,81.849
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1970,1970.5,40-44,40,5,2.687,0.651,10.079
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1970,1970.5,45-49,45,5,0.182,0.044,0.59
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1970,1970.5,50-54,50,5,0.077,0.019,0.205
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1971,1971.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1971,1971.5,15-19,15,5,4.685,1.112,20.06
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1971,1971.5,20-24,20,5,109.397,25.979,608.763
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1971,1971.5,25-29,25,5,196.649,46.699,913.273
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1971,1971.5,30-34,30,5,88.073,20.915,380.968
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1971,1971.5,35-39,35,5,19.496,4.63,81.749
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1971,1971.5,40-44,40,5,2.49,0.591,9.512
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1971,1971.5,45-49,45,5,0.21,0.05,0.708
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1971,1971.5,50-54,50,5,0.102,0.024,0.282
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1972,1972.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1972,1972.5,15-19,15,5,4.833,1.126,19.862
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1972,1972.5,20-24,20,5,121.688,28.348,666.127
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1972,1972.5,25-29,25,5,192.669,44.884,905.475
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1972,1972.5,30-34,30,5,88.574,20.634,393.023
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1972,1972.5,35-39,35,5,18.908,4.405,80.017
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1972,1972.5,40-44,40,5,2.37,0.552,9.237
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1972,1972.5,45-49,45,5,0.223,0.052,0.773
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1972,1972.5,50-54,50,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1973,1973.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1973,1973.5,15-19,15,5,4.856,1.108,19.371
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1973,1973.5,20-24,20,5,125.018,28.53,644.66
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1973,1973.5,25-29,25,5,197.785,45.135,973.323
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1973,1973.5,30-34,30,5,89.429,20.408,409.437
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1973,1973.5,35-39,35,5,18.558,4.235,78.548
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1973,1973.5,40-44,40,5,2.336,0.533,9.288
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1973,1973.5,45-49,45,5,0.223,0.051,0.793
